0: JPT.DItemType.UNKNOWN
139: JPT.DItemType.ABAQSTEPS_STRUCT_DYNAMIC_EXPLICIT
140: JPT.DItemType.ABAQSTEPS_STRUCT_STATICRISK
141: JPT.DItemType.ABAQSTEPS_THERMAL_SS
142: JPT.DItemType.ABAQSTEPS_THERMAL_TRANSIENT
143: JPT.DItemType.ABAQUSJOB
144: JPT.DItemType.LBC_MAPPING_HEATFLUX
145: JPT.DItemType.CONNECT_GAP
146: JPT.DItemType.ANSYSJOB
147: JPT.DItemType.NASTRANJOB
148: JPT.DItemType.DYANAMISJOB
149: JPT.DItemType.WELDORDER
150: JPT.DItemType.ATTRIBUTE_FXWELD
151: JPT.DItemType.ACTRANJOB
152: JPT.DItemType.LSDYNAJOB
153: JPT.DItemType.NCS
154: JPT.DItemType.ATTRIBUTE_PS_BLENDSURFACE
155: JPT.DItemType.LBC_DOFSET
156: JPT.DItemType.BEAM_PROP_ATTR
157: JPT.DItemType.BEAM_PROP_ATTR2
158: JPT.DItemType.SHELL_PROP_ATTR
159: JPT.DItemType.CONN_PROP_ATTR
160: JPT.DItemType.LBC_PRETENSION_NXN
161: JPT.DItemType.LBC_MAPPING_TEMP_MARINE_ENGINE
162: JPT.DItemType.USER_PROP
163: JPT.DItemType.CONNECTION_ELEMENT
164: JPT.DItemType.CONTACT_TSSS
165: JPT.DItemType.LBC_MAPPING_FORCEDDISPLACEMENT
166: JPT.DItemType.LBC_MAPPING_FORCED_TEMP
167: JPT.DItemType.NASTRAN_POSTJOB
168: JPT.DItemType.ADVC2_POSTJOB
169: JPT.DItemType.USER_RESULT
170: JPT.DItemType.LBC_PRETENSION_ADVC
171: JPT.DItemType.CONTACT_TSSOLVER
172: JPT.DItemType.NASTRAN_HDF5_POSTJOB
175: JPT.DItemType.PROPERTY_2D_RIGID_BODY
176: JPT.DItemType.LBC_PRETENSION_SUNSHINE
179: JPT.DItemType.CONTACT_PERMAS
181: JPT.DItemType.FRONTISTRSTEP
182: JPT.DItemType.UNV_POSTJOB
183: JPT.DItemType.TSV_POSTJOB
184: JPT.DItemType.MARCJOB
185: JPT.DItemType.MARCSTEPS_STRUCT_STATIC
186: JPT.DItemType.MARCSTEPS_STRUCT_FREQUENCY
187: JPT.DItemType.MARCSTEPS_THERMAL_SS
188: JPT.DItemType.MARCSTEPS_THERMAL_TRANSIENT
189: JPT.DItemType.PERIDYNAMIC_MODEL
190: JPT.DItemType.PD_BODY_FORCE
191: JPT.DItemType.PERIDYNAMIC_FRACTURE_MODEL
194: JPT.DItemType.POST_RESULT_CURVE
195: JPT.DItemType.POST_FREQ_ANALYSIS
196: JPT.DItemType.POST_FREQ_RESULT_CURVE
197: JPT.DItemType.POST_FREQ_LOAD
198: JPT.DItemType.POST_FREQ_LOADCASE
199: JPT.DItemType.POST_FREQ_RESPONSE
200: JPT.DItemType.POST_FREQ_INTERACTIVE_LOAD_AND_RESPONSE
201: JPT.DItemType.POST_FREQ_RESULT_MPF_CURVE
202: JPT.DItemType.POST_TRANS_ANALYSIS
203: JPT.DItemType.POST_TRANS_RESULT_CURVE
204: JPT.DItemType.POST_TRANS_LOAD
205: JPT.DItemType.POST_TRANS_LOADCASE
206: JPT.DItemType.POST_TRANS_RESPONSE
207: JPT.DItemType.POST_TRANS_RESULT_MPF_CURVE
208: JPT.DItemType.POST_BTXBTA
209: JPT.DItemType.POST_ACTRAN_ANALYSIS
210: JPT.DItemType.POST_ACTRAN_DOMAIN_GROUP
211: JPT.DItemType.POST_ACTRAN_DOMAIN
212: JPT.DItemType.POST_ACTRAN_SURFACE_GROUP
213: JPT.DItemType.POST_ACTRAN_SURFACE
214: JPT.DItemType.POST_ACTRAN_POINT_GROUP
215: JPT.DItemType.POST_ACTRAN_POINT
216: JPT.DItemType.POST_ACTRAN_LOADCASE
217: JPT.DItemType.CUSTOM_TAS_RAO
218: JPT.DItemType.POST_GURURI_RESPONSE
219: JPT.DItemType.POST_GURURI_SWEEP
220: JPT.DItemType.POST_FFT_CONDITION
221: JPT.DItemType.POST_FREQ_ANALYSIS_SOLVER
222: JPT.DItemType.POST_FREQ_LOAD_SOLVER
223: JPT.DItemType.POST_FREQ_RESPONSE_SOLVER
224: JPT.DItemType.POST_FREQ_INTERACTIVE_ANALYSIS
225: JPT.DItemType.POST_MBD_FATIGUE_ANALYSIS
226: JPT.DItemType.POST_MBD_FATIGUE_RESULT
227: JPT.DItemType.POST_MBD_FATIGUE_THERMAL_STRESS
228: JPT.DItemType.POST_MBD_FATIGUE_NODAL_TEMPERATURE
229: JPT.DItemType.POST_MBD_FATIGUE_PROPERTY
230: JPT.DItemType.POST_MBD_FATIGUE_CONDITION
231: JPT.DItemType.CONNECT_LINEARGAP
233: JPT.DItemType.POST_MBD_FATIGUE_STRESS_RECOVERY
235: JPT.DItemType.POST_ACTRAN_CONTRIBUTION_RESULT_CURVE
236: JPT.DItemType.POST_MAC_SENSOR
237: JPT.DItemType.POST_MAC_SENSOR_COLLECTION
238: JPT.DItemType.POST_SURFACE_DISTANCE
239: JPT.DItemType.CUSTOM_SESSION
240: JPT.DItemType.POST_ACOUSTIC_TRANSMISSION_LOSS
241: JPT.DItemType.POST_ACOUSTIC_TL_PCH_RESULT
242: JPT.DItemType.POST_ACOUSTIC_TL_CONDITION
243: JPT.DItemType.POST_ACOUSTIC_TRANSMISSION_LOSS_CONDITION_CURVE
244: JPT.DItemType.CUSTOM_SESSION_NAGISA
245: JPT.DItemType.PD_JOB
246: JPT.DItemType.WAON_ANALYSIS_JOB
247: JPT.DItemType.POST_MAC_DATA
248: JPT.DItemType.POST_ROUGH_SURF
249: JPT.DItemType.POST_MAC_FACTOR_CALCULATION
251: JPT.DItemType.PD_CURVE
252: JPT.DItemType.PD_PERIDYNAMIC_MATERIAL
253: JPT.DItemType.PD_FRACTURE_MODEL
254: JPT.DItemType.PD_PART
255: JPT.DItemType.PD_BOUNDARY_CONDITION
256: JPT.DItemType.PD_LOAD_CONDITION
257: JPT.DItemType.PD_SOLVER
258: JPT.DItemType.PD_EXPORT_SETTING
259: JPT.DItemType.CONTACT_LSDYNA
260: JPT.DItemType.ADVCPROCESS_RDNLK
261: JPT.DItemType.WAON_STRUCTURE_MANAGER
262: JPT.DItemType.WAON_SOUNDSOURCE_MANAGER
263: JPT.DItemType.WAON_ABSORPTION_MANAGER
264: JPT.DItemType.POST_FATIGUE_MATERIAL
265: JPT.DItemType.WAON_FIELDCAL_MANAGER
266: JPT.DItemType.WAON_TRANSFERFUNC_MANAGER
267: JPT.DItemType.POST_RESULT_TREE_RENAME
268: JPT.DItemType.PD_CONTACT_MODEL
269: JPT.DItemType.PD_CRACK_MODEL
272: JPT.DItemType.POST_TRANS_ANALYSIS_SOLVER
273: JPT.DItemType.POST_TRANS_LOAD_SOLVER
274: JPT.DItemType.POST_TRANS_RESPONSE_SOLVER
275: JPT.DItemType.LBC_ACCELERATION_LOAD_ACCEL
276: JPT.DItemType.LBC_ACCELERATION_LOAD_ACCEL1
277: JPT.DItemType.LBC_ENFORCED_RELATIVE_DISP
280: JPT.DItemType.LBC_MUFFLER_T_CONVECTION
281: JPT.DItemType.LBC_MUFFLER_T_TEMP_LOAD
282: JPT.DItemType.POST_RESULT_TREE_DELETED
283: JPT.DItemType.LBC_PRETENSION_MSC_NASTRAN
284: JPT.DItemType.LBC_PRESCRIBED_MOTION
285: JPT.DItemType.DAMPING_PART_STIFFNESS
286: JPT.DItemType.CONNECT_RBC
287: JPT.DItemType.POST_ERP
288: JPT.DItemType.POST_PLOT_ERP
289: JPT.DItemType.LBC_COIL
290: JPT.DItemType.LBC_THERMAL_SHELL_CONVECTION
291: JPT.DItemType.LBC_EXTERNAL_CURRENT_DENSITY
292: JPT.DItemType.LBC_MAGNETIC_POTENTIAL
293: JPT.DItemType.LBC_SURFACE_CURRENT_DENSITY
294: JPT.DItemType.LBC_ELECTRIC_POTENTIAL
173: JPT.DItemType.PERMASJOB
177: JPT.DItemType.LBC_RADIATION
178: JPT.DItemType.LBC_THERMAL_ATTRIBUTES
180: JPT.DItemType.FRONTISTRJOB
232: JPT.DItemType.OPTISHAPE_TS_JOB
234: JPT.DItemType.CONTACT_FRONTISTR
192: JPT.DItemType.POST_NODE
193: JPT.DItemType.POST_ELEM
250: JPT.DItemType.VIRTUAL_FLUID_MASS
270: JPT.DItemType.CUSTOM_NOTE
271: JPT.DItemType.CUSTOM_NOTE_COLLECTION
278: JPT.DItemType.MEASURE_NOTE
279: JPT.DItemType.MEASURE_NOTE_COLLECTION
295: JPT.DItemType.END
